""	"ID"	"Year_Birth"	"Education"	"Marital_Status"	"Income"	"Kidhome"	"Teenhome"	"Dt_Customer"	"Recency"	"MntWines"	"MntFruits"	"MntMeatProducts"	"MntFishProducts"	"MntSweetProducts"	"MntGoldProds"	"NumDealsPurchases"	"NumWebPurchases"	"NumCatalogPurchases"	"NumStorePurchases"	"NumWebVisitsMonth"	"AcceptedCmp3"	"AcceptedCmp4"	"AcceptedCmp5"	"AcceptedCmp1"	"AcceptedCmp2"	"Complain"	"Z_CostContact"	"Z_Revenue"	"Response"	"Kid_Status"
"25"	3102	1981	"2n Cycle"	"Together"	19414	1	0	"16-10-2013"	32	2	3	12	3	5	7	1	1	0	3	8	0	0	0	0	0	0	3	11	0	1
"26"	10242	1966	"PhD"	"Together"	47472	1	1	"16-09-2013"	39	56	0	11	0	0	8	2	2	0	4	5	0	0	0	0	0	0	3	11	0	1
"27"	1685	1967	"PhD"	"Together"	62981	0	0	"17-03-2013"	21	796	14	590	38	44	0	1	4	5	13	3	0	1	0	0	0	0	3	11	0	0
"28"	5846	1977	"Graduation"	"Divorced"	40246	1	0	"19-12-2012"	68	2	1	6	2	1	1	1	1	0	2	6	0	0	0	0	0	0	3	11	0	1
"29"	7698	1976	"PhD"	"Married"	51650	0	1	"11-05-2014"	81	152	3	22	2	5	7	1	4	1	4	5	0	0	0	0	0	0	3	11	0	0
"30"	9797	1956	"Graduation"	"Married"	58116	0	1	"13-04-2014"	38	228	19	130	4	11	51	2	3	3	8	2	0	0	0	0	0	0	3	11	0	0
"31"	7755	1954	"PhD"	"Married"	57744	0	1	"12-11-2013"	91	350	3	39	0	0	19	2	9	1	4	8	0	0	0	0	0	0	3	11	0	0
"32"	3340	1977	"Graduation"	"Married"	42014	1	0	"17-08-2012"	56	244	15	108	4	15	50	6	7	1	6	8	0	0	0	0	0	0	3	11	1	1
"33"	4789	1953	"Graduation"	"Together"	80812	0	0	"17-09-2013"	95	769	22	500	210	143	33	1	4	8	5	2	1	0	1	1	0	0	3	11	0	0
"34"	1833	1974	"PhD"	"Single"	39190	1	0	"26-04-2014"	91	68	8	18	19	8	12	2	2	1	4	5	0	0	0	0	0	0	3	11	0	1
"35"	1763	1988	"Graduation"	"Together"	87679	0	0	"27-07-2013"	62	1259	172	815	97	148	33	1	7	11	10	4	1	0	1	1	0	0	3	11	1	0
"36"	1092	1980	"Graduation"	"Married"	61014	0	1	"11-08-2012"	17	269	129	495	182	43	29	4	9	3	4	7	0	0	0	0	0	0	3	11	0	0
"37"	6977	1974	"Graduation"	"Together"	75702	0	1	"14-10-2012"	87	1073	0	629	145	37	37	1	10	5	13	6	0	0	1	0	0	0	3	11	0	0
"38"	1142	1953	"PhD"	"Married"	55707	0	1	"22-12-2013"	91	208	7	82	30	66	35	2	3	2	9	3	0	0	0	0	0	0	3	11	0	0
"39"	1340	1986	"Graduation"	"Married"	92910	0	0	"24-04-2014"	42	551	137	792	179	103	33	1	6	7	13	1	0	1	1	1	0	0	3	11	0	0
"40"	3436	1969	"Graduation"	"Married"	14045	1	0	"26-01-2014"	24	11	0	5	2	1	1	1	1	0	3	7	0	0	0	0	0	0	3	11	0	1
"41"	8996	1957	"PhD"	"Married"	NA	2	1	"19-11-2012"	4	230	42	192	49	37	53	12	7	2	8	9	0	0	0	0	0	0	3	11	0	1
"42"	6606	1969	"Master"	"Married"	70091	1	0	"31-03-2013"	11	964	34	137	15	0	11	2	5	2	10	8	0	1	0	0	0	0	3	11	0	1
"43"	946	1958	"2n Cycle"	"Together"	26490	0	0	"22-09-2012"	92	45	47	52	21	20	25	2	3	1	5	6	0	0	0	0	0	0	3	11	0	0
"44"	9645	1968	"Graduation"	"Married"	64590	0	0	"14-10-2012"	98	920	138	168	36	46	30	1	9	4	10	6	0	0	0	0	0	0	3	11	0	0
"45"	1321	1974	"Graduation"	"Married"	26067	1	0	"04-11-2013"	49	22	2	18	0	2	12	3	3	0	3	8	0	0	0	0	0	0	3	11	0	1
"46"	2072	1969	"PhD"	"Together"	53374	0	1	"16-08-2012"	34	896	10	101	13	10	34	6	4	2	9	9	1	0	0	0	0	0	3	11	1	0
"47"	6862	1971	"Graduation"	"Divorced"	1730	0	0	"18-05-2014"	65	1	1	3	1	1	1	15	0	0	0	20	0	0	0	0	0	0	3	11	0	0
"48"	4832	1979	"Graduation"	"Married"	27244	1	0	"07-03-2014"	84	6	5	17	3	24	46	2	2	2	2	7	0	0	0	0	0	0	3	11	0	1
"49"	6961	1974	"Graduation"	"Married"	26751	2	0	"22-05-2014"	26	1	1	5	0	3	1	1	1	0	2	8	0	0	0	0	0	0	3	11	0	1
"50"	2829	1955	"Graduation"	"Married"	65210	0	1	"10-03-2014"	25	626	0	70	0	7	28	2	9	3	8	6	0	1	0	1	0	0	3	11	0	0
"51"	1734	1968	"PhD"	"Together"	40706	2	1	"17-01-2013"	37	59	0	11	4	2	5	4	3	0	4	7	0	0	0	0	0	0	3	11	0	1
"52"	1386	1967	"Graduation"	"Together"	32474	1	1	"11-05-2014"	0	10	0	1	0	0	0	1	1	0	2	7	0	0	0	0	0	0	3	11	0	1
"53"	9931	1963	"PhD"	"Married"	4023	1	1	"23-06-2014"	29	5	0	1	1	1	1	15	0	0	0	19	0	0	0	0	0	0	3	11	0	1
"54"	3422	1975	"Graduation"	"Married"	76068	0	1	"29-11-2012"	67	1115	12	128	33	12	76	1	2	3	4	6	0	1	0	0	1	0	3	11	0	0
"55"	10914	1970	"Graduation"	"Single"	24163	1	1	"12-10-2013"	3	4	1	7	2	1	2	2	1	0	3	4	0	0	0	0	0	0	3	11	0	1
"56"	3426	1975	"Graduation"	"Divorced"	70300	1	0	"15-07-2013"	89	1045	61	338	60	46	46	3	5	5	13	8	0	0	0	0	0	0	3	11	0	1
"57"	3725	1961	"PhD"	"Single"	84865	0	0	"09-05-2013"	1	1248	16	349	43	16	16	1	2	4	9	4	0	1	1	1	1	0	3	11	1	0
"58"	2308	1954	"Graduation"	"Married"	46734	0	1	"18-11-2012"	40	110	5	137	26	23	29	2	6	1	5	7	0	0	0	0	0	0	3	11	0	0
"59"	10207	1978	"Graduation"	"Together"	22775	1	0	"19-06-2013"	40	5	1	8	0	0	1	1	1	0	2	8	0	0	0	0	0	0	3	11	0	1
"60"	954	1960	"Basic"	"Widow"	22123	0	0	"27-03-2014"	77	3	3	24	34	7	31	1	2	1	3	5	0	0	0	0	0	0	3	11	0	0
"61"	6461	1969	"Master"	"Single"	62772	0	1	"19-05-2013"	74	581	49	157	43	8	108	1	5	6	11	2	0	1	0	0	0	0	3	11	0	0
"62"	4042	1971	"Graduation"	"Divorced"	43300	0	1	"13-10-2012"	87	91	3	52	2	1	31	3	4	0	4	8	0	0	0	0	0	0	3	11	1	0
"63"	9606	1965	"PhD"	"Married"	69969	0	0	"27-08-2013"	64	882	29	514	38	29	44	1	4	2	6	3	0	0	1	1	0	0	3	11	1	0
"64"	2115	1957	"Graduation"	"Together"	50116	1	1	"20-06-2014"	68	54	0	10	0	0	2	2	1	0	4	5	0	1	0	0	0	0	3	11	0	1
"65"	4299	1960	"Graduation"	"Together"	70971	0	1	"21-09-2012"	28	1001	17	572	93	125	17	7	11	11	5	7	0	0	0	0	0	0	3	11	1	0
"66"	10323	1952	"Graduation"	"Married"	49413	0	1	"25-10-2013"	88	205	7	41	3	2	46	2	4	2	5	5	0	0	0	0	0	0	3	11	0	0
"67"	2173	1952	"Graduation"	"Widow"	40049	0	1	"16-10-2013"	23	13	6	7	0	3	3	1	1	0	3	6	0	0	0	0	0	0	3	11	0	0
"68"	1502	1983	"Graduation"	"Together"	28427	1	0	"21-03-2013"	67	18	3	19	3	3	6	2	2	0	3	8	0	0	0	0	0	0	3	11	0	1
"69"	2532	1987	"Master"	"Single"	73454	0	0	"01-03-2014"	95	982	73	351	56	14	175	1	2	4	6	5	1	0	0	0	0	0	3	11	0	0
"70"	6336	1960	"Graduation"	"Married"	29315	1	1	"06-04-2014"	55	13	2	14	8	7	4	4	2	0	4	6	0	0	0	0	0	0	3	11	0	1
"71"	2565	1955	"Master"	"Divorced"	70638	0	0	"01-06-2013"	69	1016	12	215	16	12	63	1	4	5	10	3	0	1	0	0	0	0	3	11	0	0
"72"	10669	1981	"Graduation"	"Married"	54386	0	1	"17-05-2013"	8	277	21	64	62	21	25	2	3	2	10	3	0	0	0	0	0	0	3	11	0	0
"73"	3283	1972	"2n Cycle"	"Married"	70932	0	1	"19-01-2014"	57	200	193	100	46	185	185	2	6	2	12	3	0	0	0	0	0	0	3	11	0	0
"74"	4856	1957	"2n Cycle"	"Married"	82347	0	0	"06-11-2012"	38	556	54	845	202	133	63	1	7	7	10	3	1	0	0	1	0	0	3	11	0	0
"75"	1020	1973	"Graduation"	"Married"	79593	0	0	"12-05-2014"	70	350	60	568	110	133	145	1	5	6	7	2	0	0	1	0	0	0	3	11	0	0
"76"	1523	1973	"Graduation"	"Married"	59041	1	1	"07-05-2014"	25	69	2	15	2	2	6	2	2	0	4	5	0	0	0	0	0	0	3	11	0	1
"77"	1497	1952	"Graduation"	"Single"	47958	0	1	"19-01-2013"	8	268	11	88	15	3	22	2	6	3	5	5	0	0	0	0	0	0	3	11	0	0
"78"	4992	1975	"Master"	"Together"	17459	1	0	"19-09-2013"	12	6	4	16	3	10	30	3	3	1	2	7	0	0	0	0	0	0	3	11	1	1
"79"	2986	1976	"Graduation"	"Married"	30772	1	1	"12-03-2014"	89	7	2	4	2	1	4	1	1	0	2	6	0	0	0	0	0	0	3	11	0	1
"80"	7761	1978	"2n Cycle"	"Together"	38702	1	0	"01-08-2013"	71	13	11	24	13	8	40	2	3	0	4	6	0	0	0	0	0	0	3	11	0	1
"81"	10403	1978	"Graduation"	"Together"	16531	1	0	"18-06-2014"	43	2	13	6	7	5	11	3	3	0	3	7	0	0	0	0	0	0	3	11	0	1
"82"	895	1948	"PhD"	"Married"	61467	0	2	"09-12-2012"	69	410	16	114	0	5	49	3	5	2	10	5	0	0	0	0	0	0	3	11	0	0
"83"	9595	1961	"Graduation"	"Together"	64260	0	0	"11-01-2013"	1	539	169	816	20	0	30	1	4	5	4	3	0	0	0	0	0	0	3	11	1	0
"84"	5734	1974	"PhD"	"Married"	61917	1	1	"20-11-2013"	83	46	4	36	2	2	1	1	2	0	4	5	0	0	0	0	0	0	3	11	0	1
"85"	7500	1967	"Graduation"	"Single"	79146	1	1	"24-04-2014"	33	245	16	223	21	43	16	2	8	1	8	6	0	0	0	0	0	0	3	11	0	1
"86"	2579	1957	"Graduation"	"Married"	71113	0	1	"17-12-2013"	95	495	33	255	11	33	8	4	6	7	9	4	0	0	0	0	0	0	3	11	0	0
"87"	9145	1972	"Graduation"	"Single"	72504	0	1	"06-04-2013"	43	604	26	470	123	161	94	2	5	9	6	2	0	0	0	0	0	0	3	11	0	0
"88"	8594	1958	"PhD"	"Widow"	50520	0	1	"28-01-2014"	25	112	0	6	2	1	14	2	3	1	3	6	0	0	0	0	0	0	3	11	0	0
"89"	4687	1958	"Master"	"Married"	80739	0	0	"23-05-2013"	92	674	92	736	39	0	92	1	3	11	9	1	0	0	0	0	0	0	3	11	0	0
"90"	5370	1973	"PhD"	"Married"	32644	1	0	"16-01-2013"	38	239	3	141	0	7	23	4	7	1	6	8	1	0	0	0	0	0	3	11	0	1
"91"	4216	1981	"Graduation"	"Single"	91065	0	0	"22-02-2013"	33	822	114	108	179	137	114	1	7	9	9	3	0	0	1	1	0	0	3	11	1	0
"92"	498	1970	"Graduation"	"Single"	30015	1	0	"02-02-2014"	28	25	0	22	2	3	5	2	1	0	4	5	0	0	0	0	0	0	3	11	0	1
"93"	2939	1970	"Master"	"Together"	79419	0	0	"22-06-2014"	96	751	127	687	20	15	31	1	4	6	4	2	0	0	0	0	0	0	3	11	0	0
"94"	10151	1960	"Graduation"	"Divorced"	62204	0	2	"12-09-2012"	38	317	46	247	151	46	139	1	4	5	12	3	0	0	0	0	0	0	3	11	0	0
"95"	6963	1947	"Graduation"	"Single"	77457	0	0	"05-03-2014"	85	675	11	400	15	45	11	1	2	5	10	1	0	0	1	0	0	0	3	11	0	0
"96"	1945	1962	"Graduation"	"Married"	71434	0	1	"18-09-2013"	4	711	36	217	172	96	168	3	7	4	7	4	0	1	0	1	0	0	3	11	0	0
"97"	10133	1970	"Graduation"	"Single"	93790	0	0	"12-02-2014"	16	1302	68	731	89	114	45	0	6	7	12	2	0	1	1	1	0	0	3	11	1	0
"98"	67	1972	"Master"	"Single"	46423	1	1	"18-09-2013"	6	68	0	16	0	0	8	3	2	0	4	7	0	0	0	0	0	0	3	11	0	1
"99"	8562	1969	"Graduation"	"Together"	54165	0	0	"28-05-2013"	72	127	4	73	15	6	11	1	2	1	7	2	0	0	0	0	0	0	3	11	0	0
"100"	7476	1964	"Master"	"Single"	63972	0	1	"02-12-2012"	93	928	63	254	0	12	12	4	5	4	10	4	0	1	0	0	0	0	3	11	0	0
"101"	1964	1951	"Graduation"	"Together"	86610	0	0	"05-09-2013"	66	446	107	768	33	196	53	1	5	6	6	2	0	0	0	0	0	0	3	11	0	0
"102"	7832	1959	"Master"	"Married"	77520	0	1	"28-08-2013"	30	940	44	396	0	88	58	1	8	7	7	4	1	0	1	1	0	0	3	11	1	0
"103"	6103	1948	"Graduation"	"Married"	42192	0	0	"06-09-2013"	40	40	15	15	17	6	7	1	2	1	3	4	0	0	0	0	0	0	3	11	0	0
"104"	564	1981	"PhD"	"Together"	56937	1	0	"04-08-2012"	81	746	8	125	11	8	8	7	8	6	9	6	0	1	0	0	0	0	3	11	1	1
"105"	640	1951	"Graduation"	"Married"	57304	0	1	"11-03-2013"	61	356	80	329	138	17	106	2	7	6	10	5	0	0	0	0	0	0	3	11	0	0
"106"	4547	1960	"Graduation"	"Together"	13672	1	1	"17-04-2013"	86	6	2	9	2	1	5	2	1	0	3	8	0	0	0	0	0	0	3	11	0	1
"107"	902	1980	"Graduation"	"Together"	62994	1	0	"04-03-2014"	74	224	12	48	4	12	12	1	6	2	4	6	0	0	0	0	0	0	3	11	0	1
"108"	574	1964	"Graduation"	"Married"	42523	0	0	"23-04-2014"	96	14	36	11	3	26	35	1	1	1	4	2	0	0	0	0	0	0	3	11	0	0
"109"	339	1972	"PhD"	"Married"	57091	0	1	"23-11-2012"	82	462	0	24	6	0	4	2	9	2	5	7	0	1	0	0	0	0	3	11	1	0
"110"	7244	1951	"Graduation"	"Single"	NA	2	1	"01-01-2014"	96	48	5	48	6	10	7	3	2	1	4	6	0	0	0	0	0	0	3	11	0	1
"111"	7962	1987	"PhD"	"Single"	95169	0	0	"09-10-2013"	1	1285	21	449	106	20	20	1	4	3	4	1	0	0	1	1	0	0	3	11	1	0
"112"	4201	1962	"Graduation"	"Single"	57967	0	1	"03-03-2013"	39	229	7	137	4	0	91	5	4	2	8	5	0	0	0	0	0	0	3	11	0	0
"113"	4682	1958	"Graduation"	"Married"	51876	0	0	"15-10-2013"	88	99	27	102	28	48	6	1	2	2	8	1	0	0	0	0	0	0	3	11	0	0
"114"	4179	1959	"Graduation"	"Together"	24221	0	0	"20-08-2013"	94	8	9	9	2	5	22	1	1	1	3	4	0	0	0	0	0	0	3	11	0	0
"115"	6818	1974	"Graduation"	"Married"	44989	0	1	"12-09-2012"	26	98	0	106	49	10	106	5	5	1	5	6	0	0	0	0	0	0	3	11	0	0
"116"	1506	1975	"Graduation"	"Single"	42160	1	1	"28-06-2013"	26	48	9	45	3	15	20	4	2	1	4	6	0	0	0	0	0	0	3	11	1	1
"117"	9500	1959	"Graduation"	"Married"	58113	0	1	"25-01-2013"	66	221	104	169	102	78	84	3	9	2	8	7	0	0	0	0	0	1	3	11	0	0
"118"	6177	1985	"PhD"	"Married"	33454	1	0	"08-05-2013"	32	76	10	56	3	1	23	2	4	0	4	8	0	0	0	0	0	0	3	11	0	1
"119"	6885	1977	"Graduation"	"Divorced"	32952	1	0	"01-12-2013"	36	38	0	12	3	1	1	1	2	0	3	7	0	0	0	0	0	0	3	11	0	1
"120"	2278	1985	"2n Cycle"	"Single"	33812	1	0	"03-11-2012"	86	4	17	19	30	24	39	2	2	1	3	6	0	0	0	0	0	0	3	11	0	1
"121"	6471	1971	"Master"	"Single"	36230	1	0	"17-10-2013"	17	14	2	30	8	2	3	1	2	0	4	5	0	0	0	0	0	0	3	11	0	1
"122"	4507	1952	"Graduation"	"Single"	72228	0	0	"27-11-2012"	87	631	28	491	30	14	56	1	6	7	8	3	0	0	0	0	0	0	3	11	0	0
"123"	6376	1979	"Graduation"	"Single"	57537	1	0	"10-06-2013"	83	191	56	139	51	8	100	4	4	3	8	4	0	0	0	0	0	0	3	11	0	1
"124"	2223	1965	"2n Cycle"	"Divorced"	64176	0	1	"03-08-2012"	52	1215	33	249	64	116	149	8	8	9	8	6	0	0	0	0	0	0	3	11	0	0
"125"	4399	1969	"Graduation"	"Together"	68695	0	0	"25-06-2014"	3	458	81	356	106	50	40	1	4	4	7	2	0	0	0	0	0	0	3	11	0	0
"126"	9904	1956	"Graduation"	"Married"	71391	0	1	"29-03-2013"	50	336	123	274	46	123	141	5	6	5	12	3	0	0	0	0	0	0	3	11	0	0
"127"	9381	1978	"Graduation"	"Married"	66373	1	1	"12-06-2013"	57	328	9	124	12	24	109	7	4	2	10	3	0	0	0	0	0	0	3	11	0	1
"128"	1524	1983	"2n Cycle"	"Single"	81698	0	0	"01-03-2013"	1	709	45	115	30	160	45	1	8	2	5	5	0	0	0	1	0	0	3	11	1	0
"129"	10623	1961	"Master"	"Together"	48330	0	1	"15-11-2013"	2	28	0	4	0	0	0	1	1	0	3	5	0	0	0	0	0	0	3	11	0	0
"130"	7281	1959	"PhD"	"Single"	NA	0	0	"05-11-2013"	80	81	11	50	3	2	39	1	1	3	4	2	0	0	0	0	0	0	3	11	0	0
"131"	7037	1974	"PhD"	"Married"	37087	1	0	"11-08-2013"	50	194	55	134	15	0	3	3	4	2	8	6	0	0	0	0	0	0	3	11	0	1
"132"	4785	1970	"PhD"	"Together"	77622	0	2	"14-04-2014"	3	520	7	154	19	0	14	2	6	3	11	3	0	0	0	0	0	0	3	11	0	0
"133"	7381	1968	"Graduation"	"Divorced"	75693	0	0	"06-12-2012"	10	797	153	293	72	97	30	1	11	4	6	4	0	1	1	1	0	0	3	11	1	0
"134"	967	1976	"Graduation"	"Married"	46049	1	1	"21-07-2013"	11	342	9	112	19	14	19	10	5	2	9	7	0	0	0	0	0	0	3	11	1	1
"135"	4673	1963	"PhD"	"Married"	81300	0	1	"30-10-2012"	17	1004	12	145	32	12	36	3	10	3	5	5	0	0	0	1	0	0	3	11	1	0
"136"	146	1960	"PhD"	"Single"	76045	0	0	"15-11-2013"	78	760	53	400	17	93	0	1	4	5	11	2	0	0	0	1	0	0	3	11	0	0
"137"	10031	1976	"PhD"	"Married"	16927	1	1	"10-02-2013"	50	20	2	23	3	1	4	5	3	0	4	8	0	0	0	0	0	0	3	11	0	1
"138"	3231	1973	"Graduation"	"Married"	37971	1	0	"25-11-2013"	97	5	4	10	2	2	7	1	1	0	3	8	0	0	0	0	0	0	3	11	0	1
"139"	9284	1958	"Graduation"	"Together"	53977	0	1	"08-06-2013"	21	620	16	165	0	24	82	5	5	5	12	5	0	0	0	0	0	0	3	11	0	0
"140"	4322	1958	"PhD"	"Together"	77863	0	0	"27-11-2013"	20	881	38	319	16	25	12	1	4	5	10	2	0	0	0	0	0	0	3	11	0	0
"141"	8492	1978	"Graduation"	"Together"	75437	0	0	"09-11-2013"	25	795	0	545	95	58	0	1	8	4	10	6	0	0	0	1	0	0	3	11	0	0
"142"	10264	1979	"Graduation"	"Divorced"	15287	1	0	"10-10-2012"	60	1	2	8	4	3	13	2	1	1	2	7	1	0	0	0	0	0	3	11	1	1
"143"	9010	1972	"Master"	"Married"	83151	0	0	"10-02-2013"	80	968	147	842	137	42	210	1	5	7	10	2	1	0	1	1	0	0	3	11	1	0
"144"	2613	1960	"Master"	"Married"	54197	0	1	"03-04-2014"	16	162	6	37	6	13	13	2	1	3	6	1	0	0	0	0	0	0	3	11	0	0
"145"	6905	1994	"Graduation"	"Together"	80685	0	0	"22-08-2012"	55	241	45	604	34	26	54	1	6	4	10	2	0	0	0	0	0	0	3	11	0	0
"146"	6566	1954	"PhD"	"Married"	72550	1	1	"08-11-2012"	39	826	50	317	50	38	38	9	5	2	12	8	0	0	0	0	0	0	3	11	0	1
"147"	9080	1972	"PhD"	"Single"	38578	1	1	"22-06-2013"	2	38	4	22	3	3	3	3	3	0	3	8	0	0	0	0	0	0	3	11	0	1
"148"	4246	1982	"Master"	"Single"	6560	0	0	"12-12-2013"	2	67	11	26	4	3	262	0	1	0	1	17	0	0	0	0	0	0	3	11	0	0
"149"	10868	1951	"Graduation"	"Widow"	70792	0	0	"06-02-2013"	82	344	45	654	104	11	114	2	3	4	10	3	0	0	0	0	0	0	3	11	0	0
"150"	5544	1970	"Graduation"	"Single"	67384	0	1	"10-11-2012"	32	957	40	175	158	53	107	2	7	8	5	5	0	1	0	0	0	0	3	11	0	0
"151"	10307	1956	"Graduation"	"Married"	50387	0	2	"31-08-2013"	91	369	9	87	12	14	34	3	6	2	8	5	0	0	0	0	0	0	3	11	0	0
"152"	4676	1951	"Master"	"Widow"	73705	0	2	"05-03-2014"	86	612	91	520	258	107	107	2	9	6	8	5	0	0	0	0	0	0	3	11	0	0
"153"	8876	1963	"PhD"	"Together"	33629	1	1	"08-08-2012"	49	132	0	16	0	0	4	5	3	1	4	9	0	0	0	0	0	0	3	11	0	1
"154"	1772	1975	"PhD"	"Married"	79174	0	0	"11-01-2013"	2	1074	37	518	193	92	129	1	5	6	7	2	0	0	1	1	0	0	3	11	1	0
"155"	3799	1955	"Graduation"	"Married"	67225	0	1	"26-11-2013"	4	315	35	322	46	7	143	3	7	2	11	5	0	0	0	0	0	0	3	11	0	0
"156"	8779	1985	"2n Cycle"	"Married"	36145	1	0	"16-06-2013"	13	56	4	76	17	1	18	4	4	1	3	9	1	0	0	0	0	0	3	11	1	1
"157"	762	1981	"2n Cycle"	"Together"	75774	1	0	"02-05-2014"	27	340	21	134	258	14	56	1	7	5	8	4	0	0	0	0	0	0	3	11	0	1
"158"	92	1988	"Graduation"	"Alone"	34176	1	0	"12-05-2014"	12	5	7	24	19	14	20	4	3	0	4	6	0	0	0	0	0	0	3	11	0	1
"159"	2591	1959	"Graduation"	"Widow"	76320	0	1	"22-06-2014"	49	526	35	214	69	53	35	2	6	3	4	2	0	0	0	0	0	0	3	11	0	0
"160"	7106	1943	"PhD"	"Married"	75865	0	0	"31-03-2014"	73	483	0	591	156	0	12	1	3	5	10	1	0	0	0	0	0	0	3	11	0	0
"161"	6815	1980	"2n Cycle"	"Married"	96547	0	0	"23-05-2014"	4	448	21	125	52	101	62	0	7	6	8	2	1	0	1	1	0	0	3	11	1	0
"162"	8204	1971	"2n Cycle"	"Married"	78041	0	0	"16-12-2012"	93	482	35	553	72	160	17	1	4	4	9	2	0	0	0	0	0	0	3	11	0	0
"163"	8690	1962	"Graduation"	"Married"	86111	0	0	"19-04-2013"	73	399	28	756	36	40	126	1	5	7	10	2	0	0	0	0	0	0	3	11	0	0
"164"	6673	1965	"Graduation"	"Single"	23478	0	0	"19-03-2013"	51	28	6	27	12	17	39	1	3	0	3	8	0	0	0	0	0	0	3	11	0	0
